Cost 41119
Edges 330
E 241 214
E 623 137
E 317 74
E 239 236
E 39 12
E 410 329
E 360 279
E 375 348
E 69 67
E 675 594
E 604 118
E 644 643
E 26 20
E 267 249
E 216 135
E 94 85
E 492 490
E 341 332
E 527 41
E 22 19
E 104 101
E 689 688
E 362 119
E 617 590
E 689 527
E 75 21
E 136 55
E 130 121
E 405 351
E 517 490
E 518 491
E 474 420
E 76 49
E 213 132
E 169 7
E 636 555
E 540 534
E 110 83
E 394 388
E 402 159
E 661 658
E 55 28
E 555 546
E 145 136
E 424 415
E 74 73
E 656 575
E 262 19
E 331 325
E 636 633
E 572 491
E 3 1
E 6 4
E 71 70
E 262 253
E 201 200
E 30 29
E 503 260
E 107 98
E 143 140
E 483 480
E 67 13
E 21 12
E 512 494
E 189 171
E 719 716
E 275 32
E 400 373
E 200 38
E 165 164
E 235 217
E 351 348
E 365 364
E 224 170
E 179 176
E 495 492
E 295 52
E 289 280
E 105 104
E 162 135
E 236 74
E 47 29
E 573 330
E 620 617
E 180 177
E 462 300
E 718 556
E 172 163
E 258 15
E 75 74
E 534 48
E 176 173
E 528 527
E 189 108
E 383 382
E 588 587
E 106 100
E 325 82
E 126 125
E 331 250
E 41 40
E 134 107
E 680 679
E 323 314
E 115 34
E 679 517
E 370 127
E 609 366
E 197 170
E 557 554
E 439 277
E 679 598
E 556 70
E 295 286
E 234 207
E 227 200
E 727 673
E 97 91
E 607 598
E 170 167
E 360 359
E 116 110
E 227 146
E 114 87
E 180 18
E 334 91
E 20 11
E 385 331
E 669 588
E 634 625
E 719 476
E 613 532
E 62 61
E 42 15
E 223 217
E 625 544
E 5 2
E 424 262
E 476 314
E 95 14
E 160 154
E 180 178
E 109 28
E 669 667
E 61 34
E 286 280
E 305 278
E 388 361
E 409 247
E 665 503
E 239 212
E 361 334
E 123 96
E 635 626
E 626 383
E 319 310
E 169 163
E 552 498
E 493 7
E 216 213
E 715 712
E 120 111
E 317 308
E 607 580
E 472 463
E 164 83
E 506 263
E 92 11
E 161 155
E 51 48
E 98 97
E 125 124
E 306 303
E 216 214
E 24 22
E 555 69
E 326 83
E 242 80
E 292 289
E 602 359
E 265 247
E 630 576
E 121 118
E 125 44
E 498 489
E 695 209
E 385 382
E 124 43
E 715 661
E 53 47
E 177 176
E 512 503
E 544 301
E 71 44
E 474 472
E 140 137
E 465 222
E 161 160
E 308 281
E 594 576
E 279 278
E 207 201
E 96 93
E 420 418
E 319 76
E 267 264
E 171 168
E 261 18
E 24 15
E 126 99
E 662 661
E 523 280
E 665 179
E 166 85
E 663 662
E 95 92
E 553 310
E 489 488
E 698 695
E 494 488
E 194 32
E 157 148
E 660 498
E 82 1
E 105 102
E 130 112
E 168 6
E 178 97
E 99 93
E 134 116
E 244 1
E 117 115
E 675 672
E 305 304
E 167 5
E 483 402
E 557 503
E 350 341
E 2 1
E 306 304
E 643 157
E 217 163
E 120 39
E 103 94
E 197 194
E 638 629
E 348 267
E 132 130
E 137 83
E 222 220
E 382 379
E 159 158
E 214 187
E 611 125
E 168 87
E 420 258
E 532 523
E 162 159
E 704 623
E 629 626
E 18 12
E 405 399
E 242 241
E 184 181
E 698 680
E 280 253
E 633 579
E 159 105
E 53 52
E 440 197
E 430 187
E 687 660
E 148 145
E 718 712
E 708 546
E 373 364
E 42 40
E 102 100
E 716 554
E 341 260
E 4 1
E 575 572
E 301 247
E 277 250
E 620 602
E 49 40
E 600 573
E 71 17
E 673 667
E 609 600
E 119 38
E 465 462
E 379 136
E 635 392
E 99 98
E 598 595
E 330 249
E 365 362
E 80 26
E 184 103
E 135 126
E 78 24
E 158 155
E 708 654
E 132 51
E 317 263
E 590 587
E 528 526
E 278 275
E 224 223
E 441 279
E 258 249
E 418 409
E 379 298
E 126 117
E 431 430
E 491 490
E 473 392
E 154 127
E 246 244
E 300 246
E 215 134
E 463 382
E 83 2
E 410 167
E 200 173
E 15 13
E 576 495
E 607 604
E 235 181
